source,stream,rxMs,panoX,panoY,correctedPanoY,rawAzimuthDeg,relativeElevationDeg,absoluteElevationDeg,verticalAngularSizeDeg,panoramaAngularWidthDeg,model,fovDeg,principalYpx,focalYpx,axisPitchDeg,calibrationLevel
BW_20260723_163819_6585.jpg,BW,1784795900576,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.27399510,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163820_6586.jpg,BW,1784795901158,40517,1765.00000000,1765.00000000,222.56652832,1.88799127,,0.14024407,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163820_6586.jpg,BW,1784795901158,40952,2033.00000000,2033.00000000,224.95605469,0.09694074,,0.14039668,0.10986328,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163829_6601.jpg,BW,1784795909816,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163829_6602.jpg,BW,1784795910397,40519,1765.00000000,1765.00000000,222.57751465,1.88799127,,0.13356630,0.09887695,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163829_6602.jpg,BW,1784795910397,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163838_6617.jpg,BW,1784795918623,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163838_6618.jpg,BW,1784795919203,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14692292,0.12634277,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163838_6618.jpg,BW,1784795919203,40002,1445.00000000,1445.00000000,219.73754883,4.02144224,,0.23284207,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163847_6633.jpg,BW,1784795927851,43259,1870.00000000,1870.00000000,237.62878418,1.18651989,,0.20048007,0.14831543,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163848_6634.jpg,BW,1784795928432,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14692292,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163848_6634.jpg,BW,1784795928432,40952,2110.00000000,2110.00000000,224.95605469,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163856_6649.jpg,BW,1784795937070,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17028809,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163857_6650.jpg,BW,1784795937647,40517,1765.00000000,1765.00000000,222.56652832,1.88799127,,0.14024515,0.13183594,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163857_6650.jpg,BW,1784795937647,40952,2034.00000000,2034.00000000,224.95605469,0.09025519,,0.14039668,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163906_6665.jpg,BW,1784795946293,43257,1872.00000000,1872.00000000,237.61779785,1.17315441,,0.26731295,0.17578125,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163906_6666.jpg,BW,1784795946870,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.13356630,0.12634277,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_163906_6666.jpg,BW,1784795946870,40951,2110.00000000,2110.00000000,224.95056152,-0.41784102,,0.23398215,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
